target_id	length	eff_length	est_counts	tpm
NR_001526	291	123.677	0	0
NR_001526_1	291	123.677	0	0
NR_001526_2	291	123.677	0	0
NM_130786	1891	1935.31	85.803	2.76496
NR_015380	2255	2072	136.928	4.12136
NM_001198818	9487	7795.54	3.38071e-06	2.70457e-08
NM_001198819	9654	7953.36	0	0
NM_001198820	9537	7852.4	0	0
NM_014576	9394	7710.47	22.8744	0.185015
NM_138932	9418	7726.34	1.13845	0.00918919
NM_138933	9489	7807.74	4.09127e-07	3.26791e-09
NM_000014	4778	4338.91	38	0.546186
NR_026971	2312	2138.31	0	0
NM_001282424	3914	3517.15	2.02477	0.0359023
NM_144670	5317	4868.02	0	0
NR_040112	1326	1152.31	0	0
NM_001080438	1148	974.309	0	0
NM_017436	2217	2268.79	686	18.8567
NM_016161	1896	1722.31	0	0
NR_037584	757	583.309	0	0
NM_001173466	1863	1685.52	25.8083	0.954911
NM_015665	1962	1786.48	1456.19	50.8343
NM_023928	3446	3404.07	1212	22.2045
NR_024035	2298	1995.47	13	0.406289
NM_001086	1731	1557.31	0	0
NM_207365	1625	1451.31	0	0
NR_110202	897	582.647	0	0
NR_110203	837	530.615	4.98235	0.585588
NM_001103170	4174	3679.34	0	0
NR_111984	3957	3469.35	3	0.0539275
NM_001013630	1700	1526.31	0	0
NR_026915	1414	1240.31	0	0
NM_001286682	2245	1736.14	2.13897e-06	7.68348e-08
NM_001286683	2318	1829.29	0	0
NM_016228	2451	2006.5	0	0
NM_182662	2233	1720.08	1.01601	0.0368372
NM_153698	1350	990.291	138	8.69067
NM_001271885	3208	2607.05	253.14	6.05549
NM_001271886	3469	2922.24	81.4923	1.73915
NM_024666	3324	2737.96	987.367	22.4899
NM_014911	21390	19111.6	2096.15	6.8401
NM_024684	629	320.978	96	18.6523
NM_001087	1918	1728.69	2447	88.2781
NM_001088	1151	958.919	0	0
NM_001166579	2038	1874.95	17.0581	0.567386
NR_110548	1207	1048.57	2.94308	0.175041
NM_001271874	2611	2429.66	834.682	21.4246
NM_015511	2890	2749.07	138.318	3.13784
NM_001025357	1911	1611.79	6.16157	0.238407
NM_001605	3469	3293.68	6478	122.658
NM_020745	4907	4902.31	1291.55	16.4303
NM_001261434	1489	1220.85	699.106	35.7124
NM_001286668	3456	2793.32	99.8813	2.22998
NM_001286669	3607	2952.48	0	0
NM_001286670	3131	2531.52	0	0
NM_001286671	3309	2659.37	11.0598	0.259361
NM_001286672	3105	2460.04	53.7742	1.36323
NM_181806	3728	3028.95	378.285	7.78867
NM_015423	2986	2367.85	1460.92	38.4779
NM_005763	5996	4959.71	44.7534	0.562739
NM_012138	2266	2080.08	3087	92.5535
NM_001080395	5436	6140.64	0	0
NM_004920	5214	6025.77	2	0.0206992
NR_027255	1702	1528.31	0	0
NM_000663	5711	5424.8	23.8117	0.273744
NM_001127448	5033	4683.19	0	0
NM_020686	4939	4632.09	117.188	1.57777
NM_005502	10627	9775.06	6	0.0382797
NM_080282	6456	5303.24	77.3424	0.909522
NR_002451	2020	1590.01	108.163	4.24244
NM_015657	8210	7215.38	0.0426424	0.000368569
NM_173076	9225	8186.27	172.957	1.31762
NR_103740	9305	8251.31	0	0
NM_152701	17309	15421.7	19.1028	0.0772502
NR_003574	4313	4094.63	4	0.0609231
NM_001606	8279	9518.46	2.37317	0.0155489
NM_212533	8271	9492.63	97.6268	0.641387
NM_001089	6748	7368.7	376	3.18225
NM_000350	7450	7345.05	4	0.0339627
NM_018672	9374	7504.77	566.993	4.7117
NM_172232	8302	6560.4	562.476	5.34701
NM_080284	5421	4495.64	950	13.1786
NM_019112	6943	7960.89	988	7.73985
NM_001288985	6129	5329.48	11	0.12872
NM_001288986	5953	5779.31	0	0
NM_007168	5848	5674.31	0	0
NM_080283	6426	5484.84	67.3366	0.765641
NM_000927	4841	4272.35	54.162	0.790615
NM_012089	3982	3601.81	1175	20.3448
NM_003742	4900	4726.31	0	0
NM_000443	4092	3618.82	29.903	0.515329
NM_018849	4113	3639.65	114.285	1.95824
NM_018850	3951	3495.74	90.6505	1.61722
NM_001163941	5526	4759.86	0	0
NM_001163942	2372	1859.66	31.4212	1.05372
NM_001163993	1849	1675.31	0	0
NM_178559	4500	3802.53	16.9523	0.278031
NM_005689	3143	3193.7	1168	22.8079
NM_001271696	2650	2155	666.201	19.2795
NM_001271697	2530	2045.21	0	0
NM_001271698	2572	2083.99	27.1539	0.812592
NM_001271699	2533	2048.96	0	0
NM_004299	2653	2158.88	506.645	14.6356
NM_001282291	4860	4886.81	0	0
NM_001282292	4734	4750.84	0	0
NM_001282293	4496	4584.59	12.1004	0.164602
NM_007188	4809	4931.67	749.9	9.48301
NM_001243013	3466	3596.02	0	0
NM_001243014	2568	2529.32	0	0
NM_019624	3526	3686.98	0	0
NM_019625	3655	3817.35	34	0.555462
NM_203444	2761	2739.08	0	0
NM_004996	6688	6902.3	4115	37.1803
NM_001198934	5153	5378.74	312.201	3.61985
NM_033450	5213	5341.74	171.799	2.00574
NM_032583	4701	4527.31	0	0
NM_033151	4987	4813.31	0	0
NM_145186	4587	4413.31	0	0
NM_033226	5293	5013.19	1	0.0124401
NR_003087	2949	2288.38	3.04583	0.0830071
NR_003088	937	763.309	0	0
NM_000392	5571	4956.07	22	0.276836
NM_001144070	2010	1859.99	2	0.0670589
NM_003786	5291	5117.31	0	0
NM_001105515	3188	2732.76	67.1049	1.5314
NM_005845	5968	5202.83	2375.38	28.4728
NM_001023587	2098	1776.85	39.7243	1.39425
NM_005688	5968	5753.13	235.276	2.55041
NR_046570	594	276.357	1	0.225666
NM_001079528	843	669.309	0	0
NM_001171	5242	5480.12	7	0.0796609
NR_003569	2849	2675.31	0	0
NR_023387	831	657.309	0	0
NM_000352	5046	4872.31	0	0
NM_001287174	5049	4875.31	0	0
NM_005691	4795	4621.31	0	0
NM_020297	8449	6999.8	503.05	4.48191
NM_000033	3789	4139.8	187	2.81708
NM_005164	5466	4346.22	288	4.13255
NM_001122674	1092	746.613	50.4573	4.21468
NM_002858	3741	2974.39	1137.71	23.8545
NM_005050	3282	3043.27	390.051	7.99316
NR_003256	3154	2923.01	117.949	2.51652
NM_001040876	4316	3480.2	709.915	12.7215
NM_002940	4319	3483.21	5225.09	93.5516
NM_001025091	3589	3465.45	4731.45	85.1475
NM_001090_1	3475	3352.53	18.5452	0.344983
NM_005692	2518	2287.91	1733.76	47.2594
NM_007189	4821	4515.58	2230.03	30.7988
NM_018358	2697	2649.09	1279	30.11
NM_004915	3120	3056.52	84.7492	1.7292
NM_016818	3084	3021.83	50.3498	1.03912
NM_207174	3085	3006.96	12.8963	0.267469
NM_207627	3244	3103.47	0	0
NM_207628	3162	3020.79	0	0
NM_207629	3048	2947.11	68.0149	1.43928
NM_001257386	4401	3583.16	2	0.0348098
NM_004827	4556	3814.46	0	0
NM_001142505	3736	3562.31	0	0
NM_022169	3960	3786.31	0	0
NM_022436	2865	2604.05	1	0.023949
NM_022437	2790	2629.55	1	0.0237168
NM_032604	1571	1397.31	0	0
NM_001272069	2931	2295.16	73.3965	1.99434
NM_018394	2879	2250.98	718.322	19.9014
NR_073570	2695	2073.69	6.87804	0.206852
NR_073571	2583	1970.16	11.4036	0.360975
NM_001145364	1423	1229.94	0	0
NM_148912	1592	1442.96	289.639	12.5181
NM_148913	1571	1387.59	0	0
NR_026910	1587	1412.39	0	0
NR_026912	1763	1617.37	74.1967	2.86097
NM_001042472	2248	2232.18	1227.2	34.2863
NM_015600	1849	1756.63	33.8037	1.20011
NM_001206673	1833	1417.27	0	0
NM_181814	1602	1203.08	12	0.622049
NM_032859	5427	4137.21	530	7.98925
NM_015407	1233	1036.98	127	7.63783
NR_037192	2004	1849.57	0	0
NM_001146314	2368	2253.97	720.509	19.9356
NM_001254753	2129	1973.72	119.852	3.78701
NM_032750	2562	2443.51	312.64	7.97934
NM_198147	3480	3497.7	301.682	5.37902
NM_001177515	2271	2126.25	22.0048	0.645416
NM_021160	2144	1971.82	423.096	13.3816
NR_033488_2	2395	2209.82	0	0
NR_033489_1	2020	1852.01	21.8994	0.737441
NM_080622	1901	2070.89	126	3.79446
NM_001130111	1688	1781.42	1213.04	42.4663
NM_031213	1841	1963.42	19.96	0.633993
NM_001025780	3229	2717.79	616.6	14.149
NM_016014	1738	1547.84	86.0732	3.46801
NM_021214	2485	2270.61	130	3.57057
NM_007011	9258	8719.13	70.2329	0.502348
NM_152924	8860	8347.36	2608.28	19.4869
NM_138340	2189	1681.85	669	24.8071
NM_022060	2634	2395.31	273	7.10784
NM_016006	5478	4370.24	343	4.8947
NM_020676	2518	2289.64	348	9.47873
NM_024527	2215	2393.39	285	7.42622
NM_001012750	3769	2957.66	0	0
NM_001012751	3682	2849.74	531.748	11.6369
