target_id	length	eff_length	est_counts	tpm
NR_001526	291	96.4537	0	0
NR_001526_1	291	96.4537	0	0
NR_001526_2	291	96.4537	0	0
NM_130786	1891	1683.99	76.0074	3.92016
NR_015380	2255	2047.99	91.0847	3.86283
NM_001198818	9487	9279.99	0.000158659	1.48492e-06
NM_001198819	9654	9446.99	0	0
NM_001198820	9537	9329.99	2.93587e-07	2.73302e-09
NM_014576	9394	9186.99	21.0246	0.198766
NM_138932	9418	9210.99	0.990616	0.00934087
NM_138933	9489	9281.99	0.000123274	1.1535e-06
NM_000014	4778	4570.99	8	0.152009
NR_026971	2312	2104.99	0	0
NM_001282424	3914	3706.99	0	0
NM_144670	5317	5109.99	3.04791	0.0518049
NR_040112	1326	1118.99	1	0.0776179
NM_001080438	1148	940.991	0	0
NM_017436	2217	2009.99	377	16.2905
NM_016161	1896	1688.99	0	0
NR_037584	757	550.047	0	0
NM_001173466	1863	1655.99	11.7128	0.614314
NM_015665	1962	1754.99	1103.29	54.6012
NM_023928	3446	3238.99	929	24.9112
NR_024035	2298	2090.99	14	0.581519
NM_001086	1731	1523.99	0	0
NM_207365	1625	1417.99	0	0
NR_110202	897	689.991	0	0
NR_110203	837	629.991	0	0
NM_001103170	4174	3966.99	0	0
NR_111984	3957	3749.99	3	0.0694831
NM_001013630	1700	1492.99	0	0
NR_026915	1414	1206.99	0	0
NM_001286682	2245	2037.99	0.00305565	0.000130223
NM_001286683	2318	2110.99	0	0
NM_016228	2451	2243.99	0	0
NM_182662	2233	2025.99	3.07911	0.132001
NM_153698	1350	1142.99	195	14.8177
NM_001271885	3208	3000.99	0	0
NM_001271886	3469	3261.99	66.365	1.76703
NM_024666	3324	3116.99	935.635	26.0711
NM_014911	21390	21183	1871.93	7.67523
NM_024684	629	422.279	73	15.0145
NM_001087	1918	1710.99	1343	68.1737
NM_001088	1151	943.991	0	0
NM_001166579	2038	1830.99	19.6506	0.932135
NR_110548	1207	999.991	12.3506	1.0727
NM_001271874	2611	2403.99	576.705	20.8357
NM_015511	2890	2682.99	41.2954	1.33681
NM_001025357	1911	1703.99	10.2148	0.520657
NM_001605	3469	3261.99	5300	141.118
NM_020745	4907	4699.99	670.786	12.3958
NM_001261434	1489	1281.99	472.327	31.9997
NM_001286668	3456	3248.99	120.19	3.21297
NM_001286669	3607	3399.99	0	0
NM_001286670	3131	2923.99	8.79687	0.261301
NM_001286671	3309	3101.99	6.30747	0.176605
NM_001286672	3105	2897.99	23.3087	0.698569
NM_181806	3728	3520.99	284.397	7.01534
NM_015423	2986	2778.99	1238.96	38.7221
NM_005763	5996	5788.99	215.433	3.23219
NM_012138	2266	2058.99	2369	99.9307
NM_001080395	5436	5228.99	0	0
NM_004920	5214	5006.99	0	0
NR_027255	1702	1494.99	0	0
NM_000663	5711	5503.99	13.5895	0.214444
NM_001127448	5033	4825.99	0	0
NM_020686	4939	4731.99	124.41	2.2835
NM_005502	10627	10420	33	0.275065
NM_080282	6456	6248.99	97	1.34819
NR_002451	2020	1812.99	66.9045	3.20515
NM_015657	8210	8002.99	37.2306	0.404051
NM_173076	9225	9017.99	17.7688	0.171134
